id,title,severity,status,date
1,Incident 1: Malware,critical,open,2023-12-28
2,Incident 2: Phishing,critical,open,2024-02-29
3,Incident 3: Data Leak,high,open,2024-06-28
4,Incident 4: Data Leak,medium,resolved,2024-03-28
5,Incident 5: Data Leak,critical,open,2024-05-17
6,Incident 6: Malware,medium,resolved,2024-08-06
7,Incident 7: DDoS,high,in progress,2024-10-09
8,Incident 8: Malware,high,open,2023-02-25
9,Incident 9: Unauthorized Access,low,resolved,2024-08-06
10,Incident 10: Unauthorized Access,critical,open,2023-01-14
11,Incident 11: Malware,low,in progress,2023-08-21
12,Incident 12: Malware,critical,resolved,2023-05-07
13,Incident 13: DDoS,medium,in progress,2023-09-28
14,Incident 14: Malware,low,in progress,2024-03-07
15,Incident 15: DDoS,medium,in progress,2023-03-21
16,Incident 16: Phishing,low,open,2023-11-16
17,Incident 17: Unauthorized Access,critical,closed,2024-07-27
18,Incident 18: Data Leak,high,resolved,2023-11-30
19,Incident 19: DDoS,critical,open,2024-05-18
20,Incident 20: DDoS,critical,resolved,2023-07-10
21,Incident 21: Data Leak,critical,closed,2024-02-14
22,Incident 22: Data Leak,low,closed,2023-04-02
23,Incident 23: Data Leak,critical,resolved,2023-04-04
24,Incident 24: Phishing,critical,open,2024-06-16
25,Incident 25: DDoS,critical,open,2023-08-28
26,Incident 26: Unauthorized Access,low,in progress,2023-10-07
27,Incident 27: Malware,medium,closed,2024-09-10
28,Incident 28: Malware,critical,closed,2024-03-24
29,Incident 29: Unauthorized Access,high,in progress,2024-06-27
30,Incident 30: Data Leak,critical,in progress,2023-05-23
31,Incident 31: Unauthorized Access,medium,open,2024-11-10
32,Incident 32: Unauthorized Access,low,open,2023-10-11
33,Incident 33: Malware,medium,in progress,2023-09-05
34,Incident 34: Data Leak,medium,in progress,2024-03-08
35,Incident 35: Unauthorized Access,low,resolved,2023-10-12
36,Incident 36: Phishing,low,open,2023-08-27
37,Incident 37: Data Leak,critical,open,2024-06-28
38,Incident 38: DDoS,medium,open,2024-02-21
39,Incident 39: Malware,high,in progress,2023-05-03
40,Incident 40: Data Leak,low,open,2024-04-02
41,Incident 41: DDoS,low,closed,2023-08-14
42,Incident 42: Malware,medium,resolved,2024-01-26
43,Incident 43: DDoS,high,open,2024-08-27
44,Incident 44: Data Leak,medium,closed,2024-03-03
45,Incident 45: Phishing,medium,open,2024-04-28
46,Incident 46: Phishing,low,resolved,2023-07-10
47,Incident 47: DDoS,low,closed,2024-09-21
48,Incident 48: DDoS,low,closed,2023-12-27
49,Incident 49: Data Leak,medium,open,2024-06-12
50,Incident 50: Unauthorized Access,high,in progress,2023-01-31
51,Incident 51: DDoS,low,in progress,2024-07-12
52,Incident 52: Malware,critical,open,2023-01-28
53,Incident 53: Data Leak,critical,resolved,2024-09-14
54,Incident 54: DDoS,medium,resolved,2024-05-28
55,Incident 55: Unauthorized Access,low,closed,2023-02-28
56,Incident 56: DDoS,medium,closed,2024-05-13
57,Incident 57: Unauthorized Access,critical,resolved,2023-03-28
58,Incident 58: Malware,medium,closed,2023-09-23
59,Incident 59: Data Leak,low,resolved,2024-06-15
60,Incident 60: Data Leak,high,in progress,2023-07-14
61,Incident 61: DDoS,medium,closed,2024-04-02
62,Incident 62: DDoS,low,closed,2024-01-06
63,Incident 63: Malware,high,closed,2023-12-07
64,Incident 64: DDoS,high,open,2024-07-06
65,Incident 65: DDoS,low,open,2023-01-20
66,Incident 66: Data Leak,critical,in progress,2024-04-01
67,Incident 67: Malware,low,closed,2023-02-28
68,Incident 68: Data Leak,high,open,2024-10-11
69,Incident 69: Unauthorized Access,low,in progress,2024-11-09
70,Incident 70: Unauthorized Access,high,in progress,2023-11-05
71,Incident 71: Malware,high,open,2023-01-05
72,Incident 72: Unauthorized Access,high,resolved,2024-10-06
73,Incident 73: DDoS,high,open,2024-03-17
74,Incident 74: Unauthorized Access,medium,open,2024-02-05
