id,ticket_id,priority,status,category,subject,description,created_date,resolved_date,assigned_to,created_at
1,TCKT-10001,Low,In Progress,Network,VPN issue,Issue details for ticket 1,2025-11-15,2025-11-19,tech38,2025-11-15 07:17:11
2,TCKT-10002,Medium,Resolved,Hardware,Account locked,Issue details for ticket 2,2024-12-27,2025-01-16,tech23,2024-12-27 07:17:11
3,TCKT-10003,Low,Resolved,Hardware,System slow,Issue details for ticket 3,2025-03-07,2025-03-21,tech34,2025-03-07 07:17:11
4,TCKT-10004,Medium,Closed,Network,Password reset,Issue details for ticket 4,2025-03-11,2025-03-15,tech18,2025-03-11 07:17:11
5,TCKT-10005,Medium,Closed,Software,Application crash,Issue details for ticket 5,2025-01-27,,tech19,2025-01-27 07:17:11
6,TCKT-10006,Medium,Closed,Security,Account locked,Issue details for ticket 6,2025-03-27,2025-04-13,tech23,2025-03-27 07:17:11
7,TCKT-10007,Low,In Progress,Access,System slow,Issue details for ticket 7,2025-06-12,2025-07-01,tech23,2025-06-12 07:17:11
8,TCKT-10008,High,Resolved,Hardware,VPN issue,Issue details for ticket 8,2025-11-15,2025-11-24,tech7,2025-11-15 07:17:11
9,TCKT-10009,Low,Open,Access,Application crash,Issue details for ticket 9,2024-12-23,,tech18,2024-12-23 07:17:11
10,TCKT-10010,Low,In Progress,Security,Laptop not starting,Issue details for ticket 10,2025-11-23,2025-12-11,tech40,2025-11-23 07:17:11
11,TCKT-10011,High,Open,Software,Account locked,Issue details for ticket 11,2025-06-17,2025-06-29,tech17,2025-06-17 07:17:11
12,TCKT-10012,Urgent,Open,Security,Account locked,Issue details for ticket 12,2025-05-29,2025-06-05,tech30,2025-05-29 07:17:11
13,TCKT-10013,Urgent,Resolved,Hardware,WiFi down,Issue details for ticket 13,2024-12-08,2024-12-28,tech11,2024-12-08 07:17:11
14,TCKT-10014,High,Open,Security,Email not syncing,Issue details for ticket 14,2025-08-23,,tech12,2025-08-23 07:17:11
15,TCKT-10015,Low,In Progress,Access,System slow,Issue details for ticket 15,2025-03-11,2025-03-27,tech30,2025-03-11 07:17:11
16,TCKT-10016,Low,Open,Software,WiFi down,Issue details for ticket 16,2025-06-30,,tech21,2025-06-30 07:17:11
17,TCKT-10017,Low,In Progress,Network,Email not syncing,Issue details for ticket 17,2025-04-22,2025-05-07,tech26,2025-04-22 07:17:11
18,TCKT-10018,Urgent,Resolved,Network,WiFi down,Issue details for ticket 18,2025-05-22,2025-06-08,tech2,2025-05-22 07:17:11
19,TCKT-10019,Medium,Closed,Network,Application crash,Issue details for ticket 19,2025-06-12,2025-06-26,tech33,2025-06-12 07:17:11
20,TCKT-10020,High,Resolved,Security,VPN issue,Issue details for ticket 20,2025-11-15,2025-12-05,tech12,2025-11-15 07:17:11
21,TCKT-10021,High,Resolved,Network,Password reset,Issue details for ticket 21,2025-12-01,2025-12-21,tech12,2025-12-01 07:17:11
22,TCKT-10022,Medium,In Progress,Security,Application crash,Issue details for ticket 22,2025-04-17,2025-04-22,tech19,2025-04-17 07:17:11
